code,title,year,description,link,poster_url,quality,views
052,Без компромиссов,,,https://my.mail.ru/mail/globous2018/video/7/14830.html,,1080p,0
051,Джанго освобожденный,,,https://rutube.ru/video/413bac447799c7176268aeee63ba0760,,1080p,1
050,1+1,2011,Трогательная история дружбы,https://example.com/intouchables,,1080p,3
049,Джентльмены,2019,Британский криминальный триллер,https://example.com/gentlemen,,1080p,1
048,Человек-паук: Вдали от дома,2019,Питер Паркер в Европе,https://example.com/spiderman,,1080p,0
047,Чёрная пантера,2018,Король Ваканда защищает свою страну,https://example.com/blackpanther,,1080p,0
046,Мстители: Война бесконечности,2018,Битва с Таносом за камни бесконечности,https://example.com/avengers3,,1080p,0
045,Мстители: Эра Альтрона,2015,Продолжение саги Мстителей,https://example.com/avengers2,,1080p,0
044,Мстители,2012,Первый сбор команды Мстителей,https://example.com/avengers1,,1080p,0
043,Хоббит: Битва пяти воинств,2014,Финал трилогии Хоббита,https://example.com/hobbit3,,1080p,0
042,Хоббит: Пустошь Смауга,2013,Продолжение приключений,https://example.com/hobbit2,,1080p,0
041,Хоббит: Нежданное путешествие,2012,Приключения Бильбо Бэггинса,https://example.com/hobbit1,,1080p,0
040,Гарри Поттер и Дары Смерти: Часть 2,2011,Финал саги,https://example.com/harrypotter7-2,,1080p,0
039,Гарри Поттер и Дары Смерти: Часть 1,2010,"Седьмая часть, часть 1",https://example.com/harrypotter7-1,,1080p,0
038,Гарри Поттер и принц-полукровка,2009,Шестая часть,https://example.com/harrypotter6,,1080p,0
037,Гарри Поттер и Орден Феникса,2007,Пятая часть,https://example.com/harrypotter5,,1080p,0
036,Гарри Поттер и кубок огня,2005,Четвёртая часть,https://example.com/harrypotter4,,1080p,0
035,Гарри Поттер и узник Азкабана,2004,Третья часть саги,https://example.com/harrypotter3,,1080p,0
034,Гарри Поттер и тайная комната,2002,Вторая часть приключений,https://example.com/harrypotter2,,1080p,0
033,Гарри Поттер и философский камень,2001,Начало магической саги,https://example.com/harrypotter1,,1080p,0
032,Остров проклятых,2010,Маршал расследует исчезновение пациентки психбольницы,https://example.com/shutterisland,,1080p,0
031,Американская история Икс,1998,Бывший неонацист пытается спасти брата,https://example.com/americanhistoryx,,1080p,0
030,Молчание ягнят,1991,Молодой агент ФБР против серийного убийцы,https://example.com/silence,,1080p,0
029,Криминальное чтиво,1994,Переплетающиеся истории гангстеров,https://example.com/pulpfiction,,1080p,0
028,Терминатор 2,1991,Борьба за будущее человечества,https://example.com/terminator2,,1080p,0
027,Леон,1994,Профессиональный убийца и маленькая девочка,https://example.com/leon,,1080p,0
026,Престиж,2006,Соперничающие фокусники и их тёмные секреты,https://example.com/prestige,,1080p,0
025,Семь,1995,Детективы расследуют серию убийств по семи смертным грехам,https://example.com/se7en,,1080p,0
024,Гладиатор,2000,Римский полководец мстит за семью,https://example.com/gladiator,,1080p,0
023,Пианист,2002,Выживание музыканта в Варшавском гетто,https://example.com/pianist,,1080p,0
022,Зелёная миля,1999,Тюремщик и заключённый с чудесной силой,https://example.com/greenmile,,1080p,0
021,Форрест Гамп,1994,История простого человека в сложном мире,https://example.com/forrestgump,,1080p,0
020,"Хороший, плохой, злой",1966,Вестерн о трёх стрелках,https://example.com/goodbadugly,,1080p,0
019,Властелин колец: Возвращение короля,2003,Финал трилогии,https://example.com/lotr3,,4K,0
018,Властелин колец: Две крепости,2002,Продолжение борьбы за Средиземье,https://example.com/lotr2,,4K,0
017,Властелин колец: Братство кольца,2001,Начало эпического путешествия,https://example.com/lotr1,,4K,0
016,Список Шиндлера,1993,История спасения евреев во время Холокоста,https://example.com/schindler,,1080p,1
015,12 разгневанных мужчин,1957,Присяжные заседатели решают судьбу подсудимого,https://example.com/12angry,,1080p,0
014,Крёстный отец 2,1974,Продолжение саги о семье Корлеоне,https://example.com/godfather2,,1080p,0
013,Побег из Шоушенка,1994,Надежда и свобода в тюрьме,https://example.com/shawshank,,1080p,0
012,Бойцовский клуб,1999,Анонимные алкоголики и подпольные бои,https://example.com/fightclub,,1080p,0
011,Тёмный рыцарь,2008,Бэтмен против Джокера,https://example.com/darkknight,,1080p,0
010,Крёстный отец,1972,Классика о мафии,https://example.com/godfather,,1080p,1
009,Паразиты,2019,Семья бедняков проникает в дом богачей,https://example.com/parasite,,1080p,0
008,Мстители: Финал,2019,Финальная битва с Таносом,https://example.com/avengers,,1080p,0
007,Аватар,2009,Путешествие на планету Пандора,https://example.com/avatar,,4K,0
006,Джокер,2019,История происхождения Джокера,https://example.com/joker,,1080p,0
005,Интерстеллар,2014,Путешествие сквозь червоточину,https://example.com/interstellar,,4K,1
004,Начало,2010,Воровство идей через сны,https://example.com/inception,,1080p,0
003,Дюна,2021,Эпическая сага о борьбе за контроль над пустынной планетой,https://example.com/dune,,4K,0
002,Титаник,1997,Любовная драма на борту Титаника,https://example.com/titanic,,1080p,3
001,Матрица,1999,Нео узнаёт правду о реальности,https://example.com/matrix,,1080p,9
