2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: e2a0b1534286
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг eee4cdd5ae8c5368: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 6b37a26fa904bef3
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 6b37a26fa904bef3 → -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Дубликат в кэше: 74753b1623bf (канал -1003701005081)
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 6b37a26fa904bef3: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для bc524b37aad393ce
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг bc524b37aad393ce → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 186536ea1f82
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг bc524b37aad393ce: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для fc86cb4237b21f1e
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг fc86cb4237b21f1e → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 208f0c94b2ad
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг fc86cb4237b21f1e: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 2ee43b11c7d9bd6f
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 2ee43b11c7d9bd6f → -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Дубликат в кэше: acedc1c21952 (канал -1003701005081)
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 2ee43b11c7d9bd6f: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 105ee0a8bb6598de
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 105ee0a8bb6598de → -1003635948209
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Дубликат в кэше: 5f77998db777 (канал -1003635948209)
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003635948209
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 105ee0a8bb6598de: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для daef7aba7573477c
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг daef7aba7573477c → -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 6e1c6453d4bb
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг daef7aba7573477c: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для c302f18a7cd71517
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг c302f18a7cd71517 → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Дубликат в кэше: 4dd65d7faede (канал -1003739906790)
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг c302f18a7cd71517: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для ba221e667a3c666c
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг ba221e667a3c666c → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: adfba14820d2
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг ba221e667a3c666c: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для a86cafb7f4a223a1
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг a86cafb7f4a223a1 → -1003635948209
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: a3ff373689bb
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003635948209
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг a86cafb7f4a223a1: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для ca9b2cac9b406541
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг ca9b2cac9b406541 → -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: ccab822eca71
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг ca9b2cac9b406541: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 9404e5ce82fba847
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 9404e5ce82fba847 → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 88ce83967bf1
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 9404e5ce82fba847: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 408db54ffdacd320
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 408db54ffdacd320 → -1003635948209
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 7532945b38a5
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003635948209
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 408db54ffdacd320: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 10dc137e0cf1a4f2
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 10dc137e0cf1a4f2 → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: a962cf5eda79
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 10dc137e0cf1a4f2: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 47ac8c2e8e9ec6a8
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 47ac8c2e8e9ec6a8 → -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 1e41c3c8a19d
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003739906790
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 47ac8c2e8e9ec6a8: Дубликат
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг АКТИВИРОВАН для 47d26137f0bcd01f
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | 🌙 Автопостинг 47d26137f0bcd01f → -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | INFO    | ⏭️ Глобальный дубликат: 714db01870fc
2026-02-20T17:43:39: 2026-02-20 17:43:39 | WARNING | ⏭️ Пропущен дубликат для канала -1003701005081
2026-02-20T17:43:39: 2026-02-20 17:43:39 | ERROR   | ❌ Автопостинг 47d26137f0bcd01f: Дубликат
