2026-03-06T20:52:50: 2026-03-06 20:52:50 | INFO    | ✅ Глобальная дедупликация включена
2026-03-06T20:52:50: 2026-03-06 20:52:50 | INFO    | 📊 Prometheus метрики запущены на порту http://localhost:8002/metrics (bot=cinema)
2026-03-06T20:52:50: 2026-03-06 20:52:50 | INFO    | ✅ Prometheus метрики запущены на порту 8002
2026-03-06T20:52:50: 2026-03-06 20:52:50 | INFO    | ✅ Локальная БД инициализирована
2026-03-06T20:52:50: 2026-03-06 20:52:50 | INFO    | ✅ Глобальная БД дедупликации инициализирована
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | 💾 Загружен кэш: 421 записей
2026-03-06T20:52:52: 2026-03-06 20:52:52 | WARNING | ⚠️ Не удалось запустить планировщик дайджестов: 'AlertManager' object has no attribute 'telegram'
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | ============================================================
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | 🚀 @Film_orbita PRODUCTION 2026 — OPTIMIZED
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    Модель: openai/gpt-oss-20b
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    Лимит: 48 постов/день, 3/цикл
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    Фидов за цикл: 4 из 7
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    ⚡ Автоодобрение: 1+ HOT слово
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    🔄 Fuzzy дубликаты: порог 85%
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    💾 Кэш��рование: 421 записей
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    🚫 Защита от выдумок: ВКЛ
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    🕒 Приоритет свежести: <2 часов
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    🚫 Чёрный список: 1 доменов
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    🌍 Глобальная дедупликация: ✅ ВКЛ
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    ☀️ ДЕНЬ: 20-40 мин
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    |    🌙 НОЧЬ: 40-50 мин
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | ============================================================
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | ============================================================
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | 🔄 Цикл #1 | ☀️ ДЕНЬ | 2026-03-06 20:52:52
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | ============================================================
2026-03-06T20:52:52: 2026-03-06 20:52:52 | INFO    | 🔄 Загружаем 7 фидов...
2026-03-06T20:52:54: 2026-03-06 20:52:53 | INFO    | ✅ www.mirf.ru: 12 записей
2026-03-06T20:52:54: 2026-03-06 20:52:53 | INFO    | ✅ www.kinonews.ru: 30 записей
2026-03-06T20:52:55: 2026-03-06 20:52:54 | INFO    | ✅ www.intermedia.ru: 150 записей
2026-03-06T20:52:55: 2026-03-06 20:52:55 | WARNING | ⚠️ feeds.feedburner.com: нет записей
2026-03-06T20:53:28: 2026-03-06 20:53:28 | INFO    | ✅ editorial.rottentomatoes.com: 35 записей
2026-03-06T20:53:28: 2026-03-06 20:53:28 | WARNING | ⏱️ variety.com: таймаут
2026-03-06T20:53:28: 2026-03-06 20:53:28 | WARNING | ⏱️ www.kg-portal.ru: таймаут
2026-03-06T20:53:28: 2026-03-06 20:53:28 | INFO    | 📊 Успешно загружено: 4/7
2026-03-06T20:53:28: 2026-03-06 20:53:28 | INFO    | 📊 Отбрано 4 фидов из 4
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | ✓ Скор: 6 (SUPER:0, HOT:1, Ключ:3, Возраст:5.9ч): Режиссер «Легенды о волках» показал тизер нового мультфильма
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | ✓ Скор: 1 (SUPER:0, HOT:0, Ключ:1, Возраст:2.9ч): "Охота на Голлума" станет началом новой трилогии "Властелин 
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=1
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | ✓ Скор: 1101 (SUPER:110, HOT:0, Ключ:1, Возраст:8.1ч): Боевик с Киану Ривзом обрел исполнительницу главной женской 
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=2
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | ✓ Скор: 1201 (SUPER:120, HOT:0, Ключ:1, Возраст:10.2ч): Анонсирован следующий проект режиссера Квентина Тарантино
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | ✓ Скор: 2 (SUPER:0, HOT:0, Ключ:2, Возраст:12.9ч): Венсан Кассель сыграет в четвертом сезоне сериала "Белый лот
2026-03-06T20:53:29: 2026-03-06 20:53:29 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=1
2026-03-06T20:53:30: 2026-03-06 20:53:30 | INFO    | ✓ Скор: 902 (SUPER:90, HOT:0, Ключ:2, Возраст:13.1ч): Уточнен график выхода фильма "Вольтрон" с Генри Кавиллом
2026-03-06T20:53:30: 2026-03-06 20:53:30 | INFO    | 🌟 Супер-горячая новость: звезда=80, процессы=1
2026-03-06T20:53:30: 2026-03-06 20:53:30 | INFO    | ✓ Скор: 907 (SUPER:90, HOT:1, Ключ:4, Возраст:13.3ч): Питер Джексон получит "Золотую пальмовую ветвь" в Каннах
2026-03-06T20:53:30: 2026-03-06 20:53:30 | INFO    | ✓ Скор: 7 (SUPER:0, HOT:1, Ключ:4, Возраст:13.5ч): Netflix назначил Бена Аффлека консультантом по ИИ
